P08686	CYP21A2
P08842	STS
P09525	ANXA4
P09565	GIG44
P0C1H6	H2BW2
P0C5K6	VENTXP1
P0C5K7	CT62
P0C604	OR4A8
P0C623	OR4Q2
P0C626	OR5G3
P0C628	OR5AC1
P0C629	OR10J4
P0C646	OR52Z1
P0C6P0	NBEAP1
P0C7A2	FAM153B
P0C7M3	SFTA3
P0C7N1	OR8U8
P0C7N8	OR9G9
P0C7P2	RFPL3S
P0C7P4	UQCRFS1P1
P0C7T7	FRMD6-AS1
P0C7U9	FAM87A
P0C7V0	LINC00271
P0C7V4	FAM90A15P
P0C7V6	SUPT20HL2
P0C7V7	SEC11B
P0C7V9	METTL15P1
P0C7W8	FAM90A13P
P0C7W9	FAM90A14P
P0C7X0	FAM90A24P
P0C7X3	CCNYL3
P0C7X4	FTH1P19
P0C841	FAM66E
P0C842	LINC00614
P0C843	LINC00032
P0C853	BAALC-AS2
P0C854	CECR9
P0C860	MSL3P1
P0C864	DANCR
P0C866	LINC00869
P0C879	-
P0C880	-
P0CAT3	TLX1NB
P0CB48	UBTFL6
P0CE67	LINC02877
P0CF51	TRGC1
P0CF74	IGLC6
P0CG00	ZSCAN5DP
P0CG01	GKN3P
P0CG04	IGLC1
P0CG22	DHRS4L1
P0CG31	ZNF286B
P0CG42	FAM157B
P0CG43	FAM157C
P0CH98	FAM106C
P0CJ85	DUX4L2
P0CJ86	DUX4L3
P0CJ87	DUX4L4
P0CJ88	DUX4L5
P0CJ89	DUX4L6
P0CJ90	DUX4L7
P0CL83	STAG3L1
P0CL84	STAG3L2
P0CL85	STAG3L3
P0CW21	SPART-AS1
P0CZ25	DNAH10OS
P0DJD4	RBMY1C
P0DJI8	SAA1
P0DMP1	MTRNR2L12
P0DMR3	ATXN8OS
P0DMU2	OR8G3P
P0DMU3	-
P0DN80	OR5H8
P0DN81	OR13C7
P0DN82	OR12D1
P0DO92	CDIPTOSP
P0DO97	CCDC192
P0DOY2	IGLC2
P0DOY3	IGLC3
P0DOY5	IGHD1-1
P0DP01	IGHV1-8
P0DP02	IGHV3-30-3
P0DP03	IGHV3-30-5
P0DP04	IGHV3-43D
P0DP06	IGHV4-30-4
P0DP07	IGHV4-31
P0DP08	IGHV4-38-2
P0DP09	IGKV1-13
P0DP72	VSIG10L2
P0DP75	MED14OS
P0DPA3	SNHG28
P0DPF4	TRAV35
P0DPF5	C2orf27A
P0DPF6	CDRT15P3
P0DPF7	TRBV6-3
P0DPI4	TRBD1
P0DPR3	TRDD1
P0DSN6	TAS2R33
P0DSN7	IGKV1D-37
P0DSO1	FAM246C
P0DSO2	SCYGR9
P0DTE0	TAS2R36
P0DTE1	IGHV3-38-3
P0DTE2	IGHV8-51-1
P0DTE4	UGT2A1
P0DTU3	TRA
P0DTU4	TRB
P0DTW3	IGHV1-38-4
P10163	PRB4
P10266	ERVK-10
P11182	DBT
P11245	NAT2
P11532	DMD
P11586	MTHFD1
P11686	SFTPC
P12036	NEFH
P12104	FABP2
P12525	MYCLP1
P13942	COL11A2
P13985	HRES1
P14859	POU2F1
P15151	PVR
P15289	ARSA
P15822	HIVEP1
P15941	MUC1
P16109	SELP
P16278	GLB1
P16435	POR
P16473	TSHR
P17213	BPI
P17301	ITGA2
P17927	CR1
P18577	RHCE
P18887	XRCC1
P19544	WT1
P20823	HNF1A
P20848	SERPINA2
P20929	NEB
P21675	TAF1
P22570	FDXR
P23083	IGHV1-2
P23109	AMPD1
P23229	ITGA6
P23634	ATP2B4
P23942	PRPH2
P23945	FSHR
P24928	POLR2A
P25021	HRH2
P26440	IVD
P26717	KLRC2
P26718	KLRK1
P26927	MST1
P27635	RPL10
P28067	HLA-DMA
P28068	HLA-DMB
P28335	HTR2C
P29459	IL12A
P29973	CNGA1
P30679	GNA15
P30837	ALDH1B1
P30954	OR10J1
P30988	CALCR
P31213	SRD5A2
P31995	FCGR2C
P32019	INPP5B
P32754	HPD
P33076	CIITA
P33261	CYP2C19
P35030	PRSS3
P35225	IL13
P35462	DRD3
P35544	FAU
P36268	GGT2
P36402	TCF7
P36639	NUDT1
P39060	COL18A1
P39656	DDOST
P40199	CEACAM6
P40205	MYCNOS
P40394	ADH7
P43026	GDF5
P43251	BTD
P43626	KIR2DL1
P43627	KIR2DL2
P46100	ATRX
P46379	BAG6
P46597	ASMT
P47883	OR3A4P
P47884	OR1D4
P47888	OR3A3
P47893	OR3A2
P48741	HSPA7
P49189	ALDH9A1
P49335	POU3F4
P49411	TUFM
P49639	HOXA1
P49761	CLK3
P49763	PGF
P51587	BRCA2
P51784	USP11
P51805	PLXNA3
P51864	TDGF1P3
P52743	ZNF137P
P53794	SLC5A3
P53990	IST1
P54108	CRISP3
P54257	HAP1
P54296	MYOM2
P54317	PNLIPRP2
P54792	DVL1P1
P55085	F2RL1
P55773	CCL23
P55822	SH3BGR
P56179	DLX6
P56555	DSCR4
P57071	PRDM15
P57078	RIPK4
P57775	FBXW4
P58512	LINC01547
P58513	LINC00158
P58550	FXYD6P3
P59020	DSCR9
P59022	DSCR10
P59036	LINC00310
P59037	LINC00313
P59051	BRWD1-AS2
P59052	B3GALT5-AS1
P59074	CHMP4BP1
P59090	TSPEAR-AS2
P59091	LINC00315
P59510	ADAMTS20
P59539	TAS2R45
P59817	ZNF280A
P59901	LILRA4
P59922	OR2B8P
P60008	H1-9P
P60323	NANOS3
P60370	KRTAP10-5
P60371	KRTAP10-6
P60372	KRTAP10-4
P60507	ERVFC1
P60509	ERVPABLB-1
P60608	ERVFC1-1
P61550	ERVS71-1
P61565	ERVK-21
P61568	ERVK11-1
P61574	HERVK_113
P61576	HERV-K104
P61578	ERVK-16
P62684	HERVK_113
P63121	HERVK_113
P63124	HERV-K104
P63128	ERVK-9
P63132	HERVK_113
P63133	ERVK-8
P63135	ERVK-7
P63136	ERVK-25
P63145	ERVK-24
P69891	HBG1
P78549	NTHL1
P80748	IGLV3-21
P86434	ADORA2A-AS1
Q00341	HDLBP
Q00532	CDKL1
Q01433	AMPD2
Q02161	RHD
Q02817	MUC2
Q03001	DST
Q03060	CREM
Q03518	TAP1
Q04118	PRB3
Q04741	EMX1
Q05215	EGR4
Q05BU3	FAM86JP
Q05BV3	EML5
Q05C16	LRRC63
Q06250	WT1-AS
Q07654	TFF3
Q08379	GOLGA2
Q08E93	FAM27E3
Q09FC8	ZNF415
Q0D2H9	GOLGA8DP
Q0D2K0	NIPAL4
Q0D2K5	EGFEM1P
Q0IIN9	ZNF252P-AS1
Q0P140	HSD52
Q0P5N6	ARL16
Q0VDD5	MIR22HG
Q0VDD7	BRME1
Q0VDD8	DNAH14
Q0VF49	KIAA2012
Q0VFX4	-
Q0VG73	-
Q10567	AP1B1
Q107X0	KLKP1
Q11128	FUT5
Q12766	HMGXB3
Q12830	BPTF
Q12894	IFRD2
Q12912	IRAG2
Q13166	CATR1
Q13278	RIG
Q13401	PMS2P3
Q13434	MKRN4P
Q13507	TRPC3
Q13522	PPP1R1A
Q13536	MIR9-1HG
Q13555	CAMK2G
Q13625	TP53BP2
Q13636	RAB31
Q13670	PMS2P11
Q13683	ITGA7
Q13907	IDI1
Q13936	CACNA1C
Q13938	CAPS
Q14002	CEACAM7
Q14135	VGLL4
Q14160	SCRIB
Q14168	MPP2
Q14236	DIAPH2-AS1
Q14397	GCKR
Q14409	GK3P
Q14558	PRPSAP1
Q14568	HSP90AA2P
Q14602	ID2B
Q14654	KCNJ11
Q14695	KIAA0087
Q14863	POU6F1
Q14943	KIR3DS1
Q14995	NR1D2
Q149M9	NWD1
Q15070	OXA1L
Q15154	PCM1
Q15170	TCEAL1
Q15195	PLGLA
Q15270	NKX1-1
Q15486	GUSBP1
Q15517	CDSN
Q15527	SURF2
Q15583	TGIF1
Q15695	ZRSR2P1
Q156A1	ATXN8
Q15929	ZNF56
Q15940	ZNF726P1
Q16048	PMCHL1
Q16363	LAMA4
Q16473	TNXA
Q16602	CALCRL
Q16609	LPAL2
Q16663	CCL15
Q16787	LAMA3
Q16850	CYP51A1
Q17RA5	C21orf62-AS1
Q17RH7	TPRXL
Q17RQ9	NKPD1
Q1A5X7	WHAMMP3
Q1AE95	TMEM183B
Q1MSJ5	CSPP1
Q1RN00	-
Q1T7F1	-
Q1W209	ESRG
Q1ZZU3	SWI5
Q2KHR3	QSER1
Q2M238	RRN3P1
Q2M2E5	C5orf64
Q2M3A8	MRGPRG-AS1
Q2M3D2	EXOC3L2
Q2M3V2	SOWAHA
Q2TAM9	TUSC1
Q2TBC4	PRICKLE4
Q2TV78	MST1L
Q2VWA4	SKOR2
Q30KQ1	DEFB133
Q30KQ8	DEFB112
Q32M92	C15orf32
Q32P41	TRMT5
Q3B8N5	PROX2
Q3BBV2	NBPF8
Q3C1V0	MS4A18
Q3C1V9	-
Q3KNT7	NSUN5P1
Q3KPI0	CEACAM21
Q3LFD5	USP41
Q3LI67	KRTAP6-3
Q3MIN7	RGL3
Q3MIW9	MUCL3
Q3MJ40	CCDC144B
Q3SXR2	C3orf36
Q3SY05	LINC00303
Q3SY89	ELOA3BP
Q3SYA9	POM121L1P
Q3Y452	TDRG1
Q3ZCN5	OTOGL
Q3ZLR7	SUPT20HL1
Q494R0	FBXL19-AS1
Q495D7	LINC01559
Q495Y7	SPDYE7P
Q495Z4	ASB16-AS1
Q499Y3	-
Q49A33	ZNF876P
Q49A88	CCDC14
Q49AS3	LRRC37A5P
Q4G0G2	H1-10-AS1
Q4G0T1	-
Q4G112	HSF5
Q4KMX7	FAM106A
Q4UJ75	ANKRD20A4P
Q4V326	GAGE2E
Q4V348	ZNF658B
Q4VX62	C6orf99
Q4VXF1	FAM74A3
Q4VXU2	PABPC1L
Q4W5N1	ABCA11P
Q52LA3	LIN52
Q52M58	C14orf177
Q52M75	LINC01554
Q53RT3	ASPRV1
Q569K4	ZNF385B
Q56UQ5	-
Q587J7	TDRD12
Q58FF3	HSP90B2P
Q58FF6	HSP90AB4P
Q58FF7	HSP90AB3P
Q58FF8	HSP90AB2P
Q58FG0	HSP90AA5P
Q58FG1	HSP90AA4P
Q58G82	SYT14P1
Q59GN2	RPL39P5
Q5BKX6	SLC45A4
Q5BKY6	-
Q5CZ79	ANKRD20A8P
Q5EBM4	ZNF542P
Q5EG05	CARD16
Q5H913	ARL13A
Q5H9B9	BMP2KL
Q5H9F3	BCORL1
Q5H9K5	ZMAT1
Q5H9U9	DDX60L
Q5JNZ5	RPS26P11
Q5JPF3	ANKRD36C
Q5JQD4	PYY3
Q5JQF7	LINC01556
Q5JUK3	KCNT1
Q5K130	CLLU1-AS1
Q5K131	CLLU1
Q5MJ09	SPANXN3
Q5NE16	CTSL3P
Q5PR19	-
Q5QFB9	PAPPA-AS1
Q5RGS3	FAM74A1
Q5SNV9	C1orf167
Q5SQ80	ANKRD20A2P
Q5SQI0	ATAT1
Q5SQN1	SNAP47
Q5SQS7	SH2D4B
Q5SR53	PIK3CD-AS1
Q5SSQ6	SAPCD1
Q5SWA1	PPP1R15B
Q5SWL7	PRAMEF14
Q5SWW7	C10orf55
Q5SXH7	PLEKHS1
Q5SY13	COL5A1-AS1
Q5SY68	S100A7L2
Q5SY85	FAM201A
Q5SZK8	FREM2
Q5T035	C9orf129
Q5T0J3	C1orf220
Q5T0N1	CFAP70
Q5T1J5	CHCHD2P9
Q5T1J6	FAM182A
Q5T2L2	AKR1C8P
Q5T2Q4	CCNYL2
Q5T319	FAM182B
Q5T3I0	GPATCH4
Q5T3Y7	BVES-AS1
Q5T481	RBM20
Q5T4H9	MIR1915HG
Q5T5F5	ADAMTSL4-AS1
Q5T6M2	LINC00242
Q5T6R2	TPTE2P1
Q5T742	ZNF22-AS1
Q5T7N8	FAM27D1
Q5T7P6	TMEM78
Q5T7V8	GORAB
Q5T890	ERCC6L2
Q5T8R8	DOCK8-AS1
Q5TBE3	C9orf153
Q5TC04	ATP1A1-AS1
Q5TC12	ATPAF1
Q5TCZ1	SH3PXD2A
Q5TEZ4	LINC01590
Q5TG30	ARHGAP40
Q5TG53	SERTAD4-AS1
Q5TG92	C1orf195
Q5TI25	NBPF14
Q5TIE3	VWA5B1
Q5TZA2	CROCC
Q5TZK3	FAM74A4
Q5U4N7	GDF5-AS1
Q5VSD8	-
Q5VSP4	LCN1P1
Q5VT28	FAM27C
Q5VT33	LINC01545
Q5VTE0	EEF1A1P5
Q5VTM2	AGAP9
Q5VTU8	ATP5F1EP2
Q5VUJ5	AGAP7P
Q5VUJ9	EFCAB2
Q5VUR7	ANKRD20A3P
Q5VV11	-
Q5VVH2	FKBP1C
Q5VVS0	C1orf140
Q5VVX9	UBE2U
Q5VW22	AGAP6
Q5VW36	FOCAD
Q5VWQ8	DAB2IP
Q5VX52	SPATA1
Q5VXD3	SAMD13
Q5VZR4	MFSD14C
Q5VZT2	C10orf113
Q5W0N0	C9orf57
Q5W150	-
Q5W188	CST9LP1
Q5XG85	-
Q5XG87	TENT4A
Q5XKL5	BTBD8
Q5YKI7	GGNBP1
Q63HN1	FAM205BP
Q63HN8	RNF213
Q63ZY6	NSUN5P2
Q658K8	EEF1DP3
Q658T7	FAM90A2P
Q66K41	ZNF385C
Q66K80	RUSC1-AS1
Q66PJ3	ARL6IP4
Q68CP4	HGSNAT
Q68D20	PMS2CL
Q68DK2	ZFYVE26
Q68DW6	DKFZp781C0719
Q68E01	INTS3
Q69YQ0	SPECC1L
Q6A1A2	PDPK2P
Q6A555	TXNDC8
Q6AWC8	-
Q6DN03	H2BC20P
Q6DRA6	H2BC19P
Q6EEV6	SUMO4
Q6F5E7	TXNRD3NB
Q6GMV1	ALG1L
Q6GTX8	LAIR1
Q6GV28	TMEM225
Q6IE36	OVOS2
Q6IE37	OVOS1
Q6IED9	DGAT2L7P
Q6IF36	OR8G2P
Q6IN97	FRMPD2B
Q6IQ22	RAB12
Q6IWH7	ANO7
Q6JHZ5	ENSG00000277005
Q6MZN7	HCP5
Q6NSI1	ANKRD26P1
Q6NSW5	DENND10P1
Q6NSX1	CCDC70
Q6NUI1	CCDC144NL
Q6NUR6	RNF216P1
Q6NVH7	SWSAP1
Q6NVV0	MKRN9P
Q6NVV1	RPL13AP3
Q6NVV9	ADAM5
Q6NWY9	PRPF40B
Q6NXN4	DPY19L2P1
Q6NY19	KANK3
Q6P2S7	TTC41P
Q6P3W6	NBPF10
Q6P435	-
Q6P474	PDXDC2P
Q6P575	GUSBP11
Q6P5S7	RNASEK
Q6P5X5	C22orf39
Q6PDA7	SPAG11A
Q6PEZ8	PODNL1
Q6PII5	HAGHL
Q6PK57	DNM1P34
Q6PKH6	DHRS4L2
Q6PL45	BRICD5
Q6PRD1	GPR179
Q6Q6R5	CRIP3
Q6Q795	-
Q6QEF8	CORO6
Q6QN14	USP17L6P
Q6RFH8	DUX4L9
Q6RVD6	SPATA8
Q6T311	ARL9
Q6U949	IGF2-AS
Q6URK8	TEPP
Q6UWF5	UNQ5815/PRO19632
Q6UWL6	KIRREL2
Q6UWV6	ENPP7
Q6UXC1	MAMDC4
Q6UXP3	TMEM14EP
Q6UXQ4	C2orf66
Q6UXQ8	UNQ6190/PRO20217
Q6UXR4	SERPINA13P
Q6UXR6	UNQ6494/PRO21346
Q6UXR8	UNQ6493/PRO21345
Q6UXS0	CLEC19A
Q6UXU0	UNQ9165/PRO28630
Q6UXV3	UNQ6126/PRO20091
Q6UY13	UNQ5830/PRO19650/PRO19816
Q6VEQ5	WASH2P
Q6W349	LINC00575
Q6W3E5	GDPD4
Q6WBX8	RAD9B
Q6WQI6	HEPN1
Q6XCG6	PP632
Q6XLA1	CASC2
Q6XXX2	LINC00114
Q6YL49	ENSG00000276565
Q6ZMR5	TMPRSS11A
Q6ZMS4	ZNF852
Q6ZMS7	ZNF783
Q6ZMT9	DTHD1
Q6ZMU1	C3P1
Q6ZMV7	LEKR1
Q6ZN03	LINC00322
Q6ZN68	DPY19L2P2
Q6ZN92	-
Q6ZNB5	-
Q6ZP01	RBM44
Q6ZP68	ATP11AUN
Q6ZP82	CCDC141
Q6ZP98	C16orf47
Q6ZPA2	-
Q6ZPB5	SDIM1
Q6ZQQ6	WDR87
Q6ZQT0	-
Q6ZQT7	-
Q6ZQV5	ZNF788P
Q6ZQX7	LIAT1
Q6ZQY7	-
Q6ZR03	-
Q6ZR08	DNAH12
Q6ZR37	PLEKHG7
Q6ZR54	-
Q6ZRC1	C4orf50
Q6ZRF7	ZNF818P
Q6ZRG5	-
Q6ZRM9	-
Q6ZRN7	-
Q6ZRP5	-
Q6ZRR7	LRRC9
Q6ZRU5	-
Q6ZRV3	LINC00696
Q6ZRX8	-
Q6ZS02	DNM1P46
Q6ZS46	-
Q6ZS49	-
Q6ZS52	-
Q6ZS62	COLCA1
Q6ZS92	-
Q6ZS94	C1orf229
Q6ZSA8	-
Q6ZSB3	LINC00299
Q6ZSK4	NTM-AS1
Q6ZSN1	-
Q6ZSR3	-
Q6ZSR6	-
Q6ZSR9	-
Q6ZST2	COL25A1-DT
Q6ZSU1	CYP2G1P
Q6ZSV7	-
Q6ZT62	BARGIN
Q6ZT77	ZNF826P
Q6ZTB9	ZNF833P
Q6ZTC4	-
Q6ZTI0	-
Q6ZTK2	-
Q6ZTR6	ZNF516-DT
Q6ZTR7	CIBAR2
Q6ZTU2	EP400P1
Q6ZTY9	C7orf65
Q6ZU45	CLEC20A
Q6ZUF6	LINC00336
Q6ZUG5	-
Q6ZUL3	C8orf86
Q6ZUT4	-
Q6ZUV0	ACOT7L
Q6ZV50	RFX8
Q6ZV56	C22orf34
Q6ZV60	LINC00173
Q6ZV77	C9orf139
Q6ZV80	C2orf91
Q6ZVH6	-
Q6ZVL6	KIAA1549L
Q6ZVL8	-
Q6ZVN7	SEM1
Q6ZVQ6	-
Q6ZVS7	FAM183BP
Q6ZVT6	CFAP20DC
Q6ZVU0	-
Q6ZWC4	-
Q6ZWJ8	KCP
Q6ZXV5	TMTC3
Q70EL3	USP50
Q719I0	AHSA2P
Q71F78	LCA10
Q71RC1	ENSG00000267954
Q71RG6	FP248
Q75L30	-
Q75LS8	FKBP9P1
Q75MW2	ZNF767P
Q75NE6	MIR17HG
Q7L0L9	-
Q7L591	DOK3
Q7RTR8	TAS2R42
Q7RTT3	SSX9P
Q7RTT4	SSX8P
Q7RTT6	SSX6P
Q7RTU5	ASCL5
Q7RTW8	OTOA
Q7RTY3	PRSS45P
Q7RTY7	OVCH1
Q7RTY8	TMPRSS7
Q7RTZ1	OVCH2
Q7Z2D5	PLPPR4
Q7Z2E3	APTX
Q7Z2G1	H2BW1
Q7Z2R9	SSBP3-AS1
Q7Z2V1	C16orf82
Q7Z2Y8	GVINP1
Q7Z3B3	KANSL1
Q7Z404	TMC4
Q7Z4B0	LINC00305
Q7Z4L9	PPP1R42
Q7Z4S9	SH2D6
Q7Z553	MDGA2
Q7Z5A4	PRSS42P
Q7Z5H5	VN1R4
Q7Z5Q1	CPEB2
Q7Z7C7	STRA8
Q7Z7G0	ABI3BP
Q7Z7K6	CENPV
Q7Z7L8	C11orf96
Q7Z7M1	ADGRD2
Q86SG4	HMGN2P46
Q86SH4	PRNT
Q86SI9	C5orf38
Q86SQ3	ADGRE4P
Q86SY8	KTN1-AS1
Q86T23	CROCCP2
Q86TA4	-
Q86TS7	LINC00643
Q86TU6	LINC00523
Q86TW2	ADCK1
Q86U02	LINC00596
Q86U37	LINC01551
Q86U86	PBRM1
Q86UC2	RSPH3
Q86UD7	TBC1D26
Q86UK7	ZNF598
Q86UP3	ZFHX4
Q86UQ4	ABCA13
Q86UQ5	GTSCR1
Q86UQ8	NFE4
Q86UT5	PDZD3
Q86UX2	ITIH5
Q86V81	ALYREF
Q86VI4	LAPTM4B
Q86X29	LSR
Q86X59	LINC02875
Q86XA9	HEATR5A
Q86XG9	NBPF5P
Q86XI8	ZSWIM9
Q86XT4	TRIM50
Q86XX4	FRAS1
Q86Y30	BAGE2
Q86YG4	NT5DC4
Q86YH2	ZNF280B
Q86YQ2	BPIFA4P
Q86YR5	GPSM1
Q8IU80	TMPRSS6
Q8IUG1	KRTAP1-3
Q8IUI4	SNX29P2
Q8IV03	LURAP1L
Q8IV16	GPIHBP1
Q8IV33	KIAA0825
Q8IVE0	CROCCP3
Q8IVG9	MT-RNR2
Q8IVJ8	APRG1
Q8IVK1	GLYCAM1
Q8IVT5	KSR1
Q8IVV2	LOXHD1
Q8IWF7	UBE2DNL
Q8IWL1	SFTPA2
Q8IWN6	FAM223A
Q8IWP9	CCDC28A
Q8IWZ4	TRIM48
Q8IX06	REXO1L1P
Q8IX95	CTAGE3P
Q8IXH7	NELFCD
Q8IXP5	C11orf53
Q8IY67	RAVER1
Q8IYA2	CCDC144CP
Q8IYB0	-
Q8IYS5	OSCAR
Q8IZJ6	TDH
Q8IZM0	-
Q8IZM8	ZNF654
Q8IZP2	ST13P4
Q8IZS5	OFCC1
Q8MH63	SLC7A5P1
Q8N0U6	LINC00518
Q8N0V1	ZNF295-AS1
Q8N149	LILRA2
Q8N1D0	SLC22A18AS
Q8N1D5	C1orf158
Q8N1I8	CACTIN-AS1
Q8N1L1	LINC00528
Q8N1L4	CYP4Z2P
Q8N1N2	DYNAP
Q8N1N5	CRIPAK
Q8N1T3	MYO1H
Q8N1V8	LINC01561
Q8N1X5	-
Q8N1Y9	-
Q8N268	C20orf197
Q8N283	ANKRD35
Q8N2A0	LINC00269
Q8N2B8	-
Q8N2C9	UMODL1-AS1
Q8N2M8	CLASRP
Q8N2Q7	NLGN1
Q8N2X6	EXOC3-AS1
Q8N319	C6orf223
Q8N326	RPP38-DT
Q8N350	CBARP
Q8N377	-
Q8N3U1	-
Q8N402	-
Q8N423	LILRB2
Q8N4C0	C9orf62
Q8N4M7	C10orf126
Q8N531	FBXL6
Q8N535	LINC00471
Q8N5R6	CCDC33
Q8N616	LINC00311
Q8N6C7	MIR7-3HG
Q8N6G1	LINC00337
Q8N6K4	-
Q8N6Q3	CD177
Q8N6T0	TOP6BL
Q8N6U2	LINC00612
Q8N743	KIR3DL3
Q8N769	C14orf178
Q8N782	ZNF525
Q8N7C3	TRIML2
Q8N7H1	LINC01465
Q8N7I0	GVQW1
Q8N7P7	-
Q8N7Q2	CELF2-AS1
Q8N7R0	NANOGP1
Q8N7S6	ARIH2OS
Q8N7U9	LINC00469
Q8N7W2	BEND7
Q8N7Y1	KIRREL3-AS3
Q8N814	-
Q8N816	TMEM99
Q8N841	TTLL6
Q8N888	BCORP1
Q8N8A8	FAM169B
Q8N8C0	ZNF781
Q8N8D7	NKAIN3
Q8N8D9	IRF1-AS1
Q8N8E1	MAPKAPK5-AS1
Q8N8F6	YIPF7
Q8N8G6	C15orf54
Q8N8H1	ZNF321P
Q8N8I6	LINC00482
Q8N8J0	PI4KAP1
Q8N8P6	-
Q8N8V8	TMEM105
Q8N8Z3	DIP2C-AS1
Q8N910	C15orf56
Q8N954	GPATCH11
Q8N976	-
Q8N9C0	IGSF22
Q8N9H6	C8orf31
Q8N9H9	C1orf127
Q8N9I5	FADS6
Q8N9K5	ZNF565
Q8N9L7	-
Q8N9P0	-
Q8N9R0	LINC00304
Q8N9T2	NKAPP1
Q8N9U9	SPANXA2-OT1
Q8N9V3	WDSUB1
Q8N9W7	-
Q8N9X3	LINC01356
Q8N9X5	TMEM75
Q8NA96	-
Q8NA97	FER1L6-AS1
Q8NAA6	LINC02694
Q8NAE3	LINC01555
Q8NAJ2	C9orf106
Q8NAP1	CASTOR3
Q8NAQ8	-
Q8NAS9	C5orf17
Q8NBB2	ST20-AS1
Q8NBF4	-
Q8NBQ5	HSD17B11
Q8NBR9	C11orf72
Q8NBT2	SPC24
Q8NBZ9	NEXN-AS1
Q8NC38	ZNF436-AS1
Q8NCK7	SLC16A11
Q8NCP5	ZBTB44
Q8NCQ2	CSNK1G2-AS1
Q8NCQ3	LINC00301
Q8NCQ7	PROCA1
Q8NCU1	CCDC197
Q8ND83	SLAIN1
Q8NDA2	HMCN2
Q8NDF8	TENT4B
Q8NDH2	CCDC168
Q8NDV3	SMC1B
Q8NDY4	MDS2
Q8NDY6	BHLHE23
Q8NEE0	KLHL30-AS1
Q8NEM8	AGBL3
Q8NEV8	EXPH5
Q8NF67	ANKRD20A12P
Q8NFB2	TMEM185A
Q8NFD4	-
Q8NFD5	ARID1B
Q8NFI4	ST13P5
Q8NFV4	ABHD11
Q8NG04	SLC26A10
Q8NG57	ELOA3P
Q8NG78	OR8G5
Q8NG99	OR7G2
Q8NGA2	OR7A2P
Q8NGA4	GPR32P1
Q8NGC0	OR5AU1
Q8NGC1	OR11G2
Q8NGC2	OR4E2
Q8NGC3	OR10G2
Q8NGC5	OR6J1
Q8NGC9	OR11H4
Q8NGE7	OR9K2
Q8NGG1	OR8J2
Q8NGG2	OR5T2
Q8NGG3	OR5T3
Q8NGG7	OR8A1
Q8NGH5	OR56A1
Q8NGH6	OR52L2P
Q8NGH7	OR52L1
Q8NGI1	OR56B2P
Q8NGJ2	OR52H1
Q8NGN7	OR10D4P
Q8NGN8	OR4A4P
Q8NGR2	OR1L6
Q8NGR6	OR1B1
Q8NGR9	OR1N2
Q8NGU1	OR9A1P
Q8NGU4	OR2I1P
Q8NGV5	OR13D1
Q8NGV6	OR5H6
Q8NGV7	OR5H2
Q8NGY3	OR6K3
Q8NGY7	OR10J6P
Q8NH00	OR2T4
Q8NH06	OR1P1
Q8NH07	OR11H2
Q8NH08	OR10AC1
Q8NH19	OR10AG1
Q8NH21	OR4F5
Q8NH41	OR4K15
Q8NH57	OR52P1P
Q8NH61	OR51F2
Q8NH63	OR51H1
Q8NH89	OR5AK3P
Q8NH94	OR1L1
Q8NH95	OR13C6P
Q8NHA6	OR2W6P
Q8NHC6	OR14L1P
Q8NHH1	TTLL11
Q8NHJ6	LILRB4
Q8NHK3	KIR2DL5B
Q8NHL6	LILRB1
Q8NHM4	PRSS3P2
Q8NHW5	RPLP0P6
Q8NI17	IL31RA
Q8NI28	LINC01006
Q8NI36	WDR36
Q8TAB7	CCDC26
Q8TAF5	FLVCR1-DT
Q8TAI1	TYMSOS
Q8TAM2	TTC8
Q8TAT8	-
Q8TAV5	C11orf45
Q8TAX9	GSDMB
Q8TB33	LINC01560
Q8TBR4	STAG3L4
Q8TBR5	CIRBP-AS1
Q8TBZ2	MYCBPAP
Q8TC20	CAGE1
Q8TC94	ACTL9
Q8TCB6	OR51E1
Q8TCH9	-
Q8TCV5	WFDC5
Q8TCY0	SMIM11B
Q8TCZ7	LINC00308
Q8TD46	CD200R1
Q8TDU5	VN1R17P
Q8TE59	ADAMTS19
Q8TES7	FBF1
Q8TEV8	SMCR5
Q8TF20	ZNF721
Q8TF27	AGAP11
Q8WTZ3	-
Q8WTZ4	CA5BP1
Q8WU43	C2orf15
Q8WU68	U2AF1L4
Q8WUH1	CHURC1
Q8WUI4	HDAC7
Q8WW59	SPRYD4
Q8WWG9	KCNE4
Q8WWI1	LMO7
Q8WWV6	FCAMR
Q8WX92	NELFB
Q8WX93	PALLD
Q8WXE9	STON2
Q8WXK4	ASB12
Q8WXQ3	LINC01599
Q8WY50	PLAC4
Q8WYJ6	SEPTIN1
Q8WYQ9	ZCCHC14
Q8WZ26	PP6455
Q8WZ33	MAFIP
Q8WZ69	C11orf40
Q8WZA6	OR1E3
Q8WZA8	GCRG224
Q8WZB0	LINC00476
Q902F9	HERVK_113
Q92616	GCN1
Q92617	NPIPB3
Q92637	FCGR1B
Q92670	ZNF75CP
Q92771	DDX12P
Q92782	DPF1
Q92834	RPGR
Q92928	RAB1C
Q93070	ART4
Q93083	MT1L
Q969H9	DIRC1
Q96AX9	MIB2
Q96B86	RGMA
Q96BR9	ZBTB8A
Q96BW9	TAMM41
Q96BZ8	LENG1
Q96CB5	C8orf44
Q96DA0	ZG16B
Q96DT0	LGALS12
